ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,lt85,,,,,,212,0301,304+142,,,,, 17.4732,104.7281
sg,lt86,,,,,,212,0301,304+215,,,,, 17.4729,104.7287
sg,lt87,,,,,,212,0301,304+288,,,,, 17.4727,104.7293
sg,lt88,,,,,,212,0301,304+358,,,,, 17.4725,104.7299
sg,lt89,,,,,,212,0301,304+403,,,,, 17.4723,104.7303
sg,lt90,,,,,,212,0301,304+448,,,,, 17.4722,104.7307
sg,lt91,,,,,,212,0301,304+493,,,,, 17.4720,104.7311
sg,lt92,,,,,,212,0301,304+543,,,,, 17.4718,104.7315
sg,lt93,,,,,,212,0301,304+583,,,,, 17.4716,104.7318
sg,lt94,,,,,,212,0301,304+628,,,,, 17.4713,104.7321
sg,lt95,,,,,,212,0301,304+746,,,,, 17.4703,104.7328
sg,lt96,,,,,,212,0301,304+925,,,,, 17.4690,104.7337
sg,lt97,,,,,,212,0301,304+965,,,,, 17.4687,104.7339
sg,lt98,,,,,,212,0301,305+027,,,,, 17.4683,104.7342
sg,lt99,,,,,,212,0301,305+090,,,,, 17.4678,104.7345
sg,lt100,,,,,,212,0301,305+217,,,,, 17.4668,104.7352
sg,lt101,,,,,,212,0301,305+262,,,,, 17.4665,104.7354
sg,lt102,,,,,,212,0301,305+304,,,,, 17.4661,104.7357
sg,lt103,,,,,,212,0301,305+349,,,,, 17.4658,104.7359
sg,lt104,,,,,,212,0301,305+389,,,,, 17.4655,104.7361
sg,lt105,,,,,,212,0301,305+434,,,,, 17.4652,104.7363
sg,lt106,,,,,,212,0301,305+481,,,,, 17.4648,104.7366
sg,lt108,,,,,,212,0301,305+564,,,,, 17.4642,104.7370
sg,lt107,,,,,,212,0301,305+526,,,,, 17.4645,104.7368
sg,lt109,,,,,,212,0301,305+614,,,,, 17.4638,104.7373
sg,lt110,,,,,,212,0301,305+654,,,,, 17.4635,104.7375
sg,lt111,,,,,,212,0301,305+707,,,,, 17.4631,104.7378
sg,lt112,,,,,,212,0301,305+772,,,,, 17.4626,104.7382
sg,lt113,,,,,,212,0301,305+832,,,,, 17.4622,104.7385
sg,lt114,,,,,,212,0301,305+869,,,,, 17.4619,104.7386
sg,lt115,,,,,,212,0301,305+909,,,,, 17.4615,104.7388
sg,lt116,,,,,,212,0301,305+956,,,,, 17.4612,104.7391
sg,lt117,,,,,,212,0301,306+001,,,,, 17.4609,104.7393
sg,lt118,,,,,,212,0301,307+010,,,,, 17.4535,104.7433
sg,lt119,,,,,,212,0301,307+065,,,,, 17.4530,104.7436
sg,lt120,,,,,,212,0301,307+118,,,,, 17.4526,104.7438
sg,lt121,,,,,,212,0301,307+210,,,,, 17.4520,104.7441
sg,lt122,,,,,,212,0301,307+267,,,,, 17.4516,104.7443
sg,lt123,,,,,,212,0301,307+335,,,,, 17.4510,104.7445
sg,lt124,,,,,,212,0301,307+402,,,,, 17.4505,104.7448
sg,lt125,,,,,,212,0301,307+468,,,,, 17.4500,104.7451
sg,lt126,,,,,,212,0301,307+528,,,,, 17.4495,104.7453
sg,lt127,,,,,,212,0301,307+603,,,,, 17.4489,104.7456
sg,lt128,,,,,,212,0301,307+663,,,,, 17.4485,104.7458
sg,lt129,,,,,,212,0301,307+738,,,,, 17.4479,104.7461
sg,lt130,,,,,,212,0301,307+804,,,,, 17.4474,104.7463
sg,lt131,,,,,,212,0301,307+875,,,,, 17.4469,104.7467
sg,lt132,,,,,,212,0301,307+951,,,,, 17.4464,104.7470
sg,lt133,,,,,,212,0301,308+022,,,,, 17.4460,104.7474
sg,lt134,,,,,,212,0301,308+128,,,,, 17.4455,104.7477
sg,lt135,,,,,,212,0301,308+235,,,,, 17.4452,104.7480
sg,lt136,,,,,,212,0301,308+290,,,,, 17.4448,104.7483
sg,lt137,,,,,,212,0301,308+426,,,,, 17.4439,104.7490
sg,lt138,,,,,,212,0301,308+534,,,,, 17.4432,104.7495
sg,lt139,,,,,,212,0301,308+598,,,,, 17.4428,104.7499
sg,lt140,,,,,,212,0301,308+666,,,,, 17.4423,104.7502
sg,lt141,,,,,,212,0301,308+731,,,,, 17.4419,104.7506
sg,lt142,,,,,,212,0301,308+796,,,,, 17.4414,104.7510
sg,lt143,,,,,,212,0301,308+861,,,,, 17.4410,104.7514
sg,lt144,,,,,,212,0301,308+926,,,,, 17.4406,104.7519
sg,lt145,,,,,,212,0301,308+911,,,,, 17.4403,104.7523
sg,lt146,,,,,,212,0301,309+056,,,,, 17.4399,104.7528
sg,lt147,,,,,,212,0301,30-309+1,,,,, 17.4396,104.7533
sg,lt148,,,,,,212,0301,309+190,,,,, 17.4393,104.7538
sg,lt149,,,,,,212,0301,309+260,,,,, 17.4389,104.7543
sg,lt150,,,,,,212,0301,309+330,,,,, 17.4386,104.7548
sg,rt1,,,,,,212,0301,243+145,,,,, 17.7770,104.2742
sg,rt2,,,,,,212,0301,243+188,,,,, 17.7767,104.2744
sg,rt3,,,,,,212,0301,243+277,,,,, 17.7760,104.2748
sg,rt4,,,,,,212,0301,243+318,,,,, 17.7756,104.2750
sg,rt5,,,,,,212,0301,243+368,,,,, 17.7752,104.2753
sg,rt6,,,,,,212,0301,243+415,,,,, 17.7749,104.2755
sg,rt7,,,,,,212,0301,243+463,,,,, 17.7745,104.2757
sg,rt8,,,,,,212,0301,243+506,,,,, 17.7742,104.2759
sg,rt9,,,,,,212,0301,243+547,,,,, 17.7738,104.2761
sg,rt10,,,,,,212,0301,243+596,,,,, 17.7734,104.2762
sg,rt11,,,,,,212,0301,243+637,,,,, 17.7731,104.2764
sg,rt12,,,,,,212,0301,243+686,,,,, 17.7727,104.2767
sg,rt13,,,,,,212,0301,243+731,,,,, 17.7724,104.2769
sg,rt14,,,,,,212,0301,243+777,,,,, 17.7720,104.2771
sg,rt15,,,,,,212,0301,243+820,,,,, 17.7717,104.2773
sg,rt16,,,,,,212,0301,243+869,,,,, 17.7713,104.2775
sg,rt17,,,,,,212,0301,243+910,,,,, 17.7710,104.2777
sg,rt18,,,,,,212,0301,243+954,,,,, 17.7706,104.2779
sg,rt19,,,,,,212,0301,244+213,,,,, 17.7686,104.2791
sg,rt20,,,,,,212,0301,244+263,,,,, 17.7682,104.2793
sg,rt21,,,,,,212,0301,244+303,,,,, 17.7679,104.2795
sg,rt22,,,,,,212,0301,244+348,,,,, 17.7675,104.2797
sg,rt23,,,,,,212,0301,244+393,,,,, 17.7672,104.2799
sg,rt24,,,,,,212,0301,244+439,,,,, 17.7668,104.2801
sg,rt25,,,,,,212,0301,244+483,,,,, 17.7665,104.2803
sg,rt26,,,,,,212,0301,244+528,,,,, 17.7661,104.2805
sg,rt27,,,,,,212,0301,244+575,,,,, 17.7657,104.2807
sg,rt28,,,,,,212,0301,244+619,,,,, 17.7654,104.2809
sg,rt29,,,,,,212,0301,244+664,,,,, 17.7650,104.2812
sg,rt30,,,,,,212,0301,245+036,,,,, 17.7622,104.2832
sg,rt31,,,,,,212,0301,245+086,,,,, 17.7619,104.2835
sg,rt32,,,,,,212,0301,245+131,,,,, 17.7616,104.2838
sg,rt33,,,,,,212,0301,245+177,,,,, 17.7615,104.2842
sg,rt34,,,,,,212,0301,245+222,,,,, 17.7613,104.2846
sg,rt35,,,,,,212,0301,245+304,,,,, 17.7610,104.2850
sg,rt36,,,,,,212,0301,245+348,,,,, 17.7609,104.2854
sg,rt37,,,,,,212,0301,245+398,,,,, 17.7607,104.2858
sg,rt38,,,,,,212,0301,245+438,,,,, 17.7606,104.2862
sg,rt39,,,,,,212,0301,245+481,,,,, 17.7605,104.2865
sg,rt40,,,,,,212,0301,245+527,,,,, 17.7604,104.2870
sg,rt41,,,,,,212,0301,245+579,,,,, 17.7603,104.2874
sg,rt42,,,,,,212,0301,245+621,,,,, 17.7602,104.2878
sg,rt43,,,,,,212,0301,245+670,,,,, 17.7601,104.2882
sg,rt44,,,,,,212,0301,245+714,,,,, 17.7600,104.2887
sg,rt45,,,,,,212,0301,245+761,,,,, 17.7599,104.2891
sg,rt46,,,,,,212,0301,246+421,,,,, 17.7583,104.2951
sg,rt47,,,,,,212,0301,246+469,,,,, 17.7582,104.2956
sg,rt48,,,,,,212,0301,246+515,,,,, 17.7581,104.2960
sg,rt49,,,,,,212,0301,247+454,,,,, 17.7558,104.3046
